t,(Var=C2) C2,(Var=CP) CP,(Var=CT) CT,(Var=EmptySet) EmptySet,(Var=J_Reaction1) J_Reaction1,(Var=J_Reaction2) J_Reaction2,(Var=J_Reaction3) J_Reaction3,(Var=J_Reaction4) J_Reaction4,(Var=J_Reaction5) J_Reaction5,(Var=J_Reaction6) J_Reaction6,(Var=J_Reaction7) J_Reaction7,(Var=J_Reaction8) J_Reaction8,(Var=J_Reaction9) J_Reaction9,(Var=M) M,(Var=pM) pM,(Var=Y) Y,(Var=YP) YP
11.8427813642,675.5145954676,675492.600755741,1000000,0,22001.7151487659,6.76E+008,6.75E+008,1.50E+004,0,15000,0,15252.3433729487,3.17E+004,2.20E+004,301830.16949952,111.038507639,25420.5722882479
12.1074256781,677.7502683064,677725.208984866,1000000,0,25069.3930662799,6.78E+008,6.78E+008,1.50E+004,0,15000,0,16461.3045762447,3.89E+004,2.51E+004,296527.647680016,110.6763196724,27435.5076270745
12.3541506508,680.7136890747,680684.484780495,1000000,0,29218.5166608034,6.81E+008,6.81E+008,1.50E+004,0,15000,0,17919.5637113567,4.97E+004,2.92E+004,289416.284869055,110.1999256317,29865.9395189278
12.5364205189,683.6872821586,683653.646357023,1000000,0,33654.4632847254,6.84E+008,6.84E+008,1.50E+004,0,15000,0,19310.790243793,6.26E+004,3.37E+004,282008.203075523,109.726309404,32184.6504063216
12.7186903869,687.6388411901,687598.743139847,1000000,0,40123.1878082819,6.88E+008,6.88E+008,1.50E+004,0,15000,0,21115.1212103472,8.36E+004,4.01E+004,271590.430210123,109.1038539003,35191.8686839119
12.8628479061,691.7752827196,691727.612768529,1000000,0,47702.679279167,6.92E+008,6.92E+008,1.50E+004,0,15000,0,22988.8945450054,1.11E+005,4.77E+004,259877.932669031,108.4607178909,38314.8242416756
12.997477338,696.8406061218,696782.465318254,1000000,0,58184.0328145299,6.97E+008,6.97E+008,1.50E+004,0,15000,0,25291.4196358038,1.53E+005,5.82E+004,244336.661260542,107.684747691,42152.366059673
13.1174147575,702.8107785555,702738.643389258,1000000,0,72192.4350859202,7.03E+008,7.03E+008,1.50E+004,0,15000,0,28034.7863470934,2.15E+005,7.22E+004,224366.11074571,106.786074294,46724.6439118223
13.2101452045,708.8071573803,708719.433282492,1000000,0,87797.0081857568,7.09E+008,7.09E+008,1.50E+004,0,15000,0,30827.757665682,2.85E+005,8.78E+004,202774.751373805,105.8999968938,51379.5961094699
13.2821998358,714.6186915297,714514.884759617,1000000,0,103895.814610271,7.15E+008,7.15E+008,1.50E+004,0,15000,0,33567.5982309022,3.55E+005,1.04E+005,180874.681938019,105.0560649217,55945.9970515036
13.3542544671,721.7349704289,721611.13799505,1000000,0,123941.554450505,7.22E+008,7.22E+008,1.50E+004,0,15000,0,36956.8337228248,4.28E+005,1.24E+005,153725.572583453,104.0409449706,61594.7228713746
13.4187839934,729.4331547106,729288.71777854,1000000,0,144566.680199955,7.29E+008,7.29E+008,1.50E+004,0,15000,0,40649.1693301666,4.74E+005,1.45E+005,125415.168866229,102.9633092844,67748.6155502777
13.4720258621,736.8053180084,736643.56247389,1000000,0,161902.584773342,7.37E+008,7.37E+008,1.50E+004,0,15000,0,44192.3246512971,4.77E+005,1.62E+005,100717.047434194,101.9493101182,73653.8744188286
13.5252677308,745.0580628774,744880.837802175,1000000,0,177387.538270185,7.45E+008,7.45E+008,1.50E+004,0,15000,0,48145.5982603498,4.37E+005,1.77E+005,76986.5658641954,100.8334101799,80242.6637672496
13.5785095995,754.0359561925,753847.086703744,1000000,0,189043.509655606,7.54E+008,7.54E+008,1.50E+004,0,15000,0,52405.2028389065,3.64E+005,1.89E+005,56355.367683891,99.6414573741,87342.0047315108
13.6317514682,763.5014223761,763305.762102348,1000000,0,195840.992310911,7.64E+008,7.63E+008,1.50E+004,0,15000,0,56821.574033051,2.77E+005,1.96E+005,40089.7441637992,98.4093325402,94702.6233884183
13.6903396199,774.17381562,773976.029936797,1000000,0,197968.440908586,7.74E+008,7.74E+008,1.50E+004,0,15000,0,61675.2109571643,1.93E+005,1.98E+005,27281.3553384331,97.0507097564,102792.01826194
13.7489175736,784.8304893709,784634.899883832,1000000,0,195769.988849424,7.85E+008,7.85E+008,1.50E+004,0,15000,0,66354.2999127494,1.30E+005,1.96E+005,18810.2807768107,95.7269546193,110590.499854582
13.8074955274,795.2660618079,795075.500500885,1000000,0,190736.744645669,7.95E+008,7.95E+008,1.50E+004,0,15000,0,70742.6520898754,8.79E+004,1.91E+005,13392.4887910758,94.4626603021,117904.420149792
13.8660734811,805.3524826487,805168.596166396,1000000,0,184055.226143836,8.05E+008,8.05E+008,1.50E+004,0,15000,0,74774.1510169668,6.10E+004,1.84E+005,9970.8252065578,93.2705338742,124623.585028278
13.9442988114,818.1610725058,817987.324379703,1000000,0,173906.722342707,8.18E+008,8.18E+008,1.50E+004,0,15000,0,79553.5403964192,3.98E+004,1.74E+005,7287.792204523,91.7981729789,132589.233994032
14.0256754457,830.6203883914,830457.630500209,1000000,0,162905.49792711,8.31E+008,8.30E+008,1.50E+004,0,15000,0,83785.7929781277,2.78E+004,1.63E+005,5806.2511837281,90.4092366685,139642.988296879
14.1070520799,842.1892123274,842037.288360939,1000000,0,152060.744996936,8.42E+008,8.42E+008,1.50E+004,0,15000,0,87294.2429281959,2.12E+004,1.52E+005,5059.7774292356,89.1564284391,145490.404880326
14.1884287142,852.8937804302,852752.24673736,1000000,0,141660.089056853,8.53E+008,8.53E+008,1.50E+004,0,15000,0,90128.6546535636,1.72E+004,1.42E+005,4734.7704247939,88.0276739178,150214.424422606
14.2698053485,862.7760477184,862644.338258875,1000000,0,131826.040082243,8.63E+008,8.63E+008,1.50E+004,0,15000,0,92345.700110386,1.47E+004,1.32E+005,4666.8456106014,87.0107049867,153909.500183977
14.3511819827,871.8841519895,871761.659730191,1000000,0,122599.631402347,8.72E+008,8.72E+008,1.50E+004,0,15000,0,94003.0063973324,1.30E+004,1.23E+005,4766.8247149105,86.0940161379,156671.677328887
14.432558617,880.2676921335,880153.80948802,1000000,0,113981.416315174,8.80E+008,8.80E+008,1.50E+004,0,15000,0,95156.3262180808,1.17E+004,1.14E+005,4984.5065041083,85.2671854333,158593.877030135
14.5139352512,887.975383429,887869.522252548,1000000,0,105951.933861403,8.88E+008,8.88E+008,1.50E+004,0,15000,0,95858.2447330095,1.08E+004,1.06E+005,5290.5685020563,84.5209222536,159763.741221683
14.6372687091,898.4722670803,898377.507934479,1000000,0,94838.8124145273,8.98E+008,8.98E+008,1.50E+004,0,15000,0,96169.6809335535,9.63E+003,9.48E+004,5885.2073833519,83.5253913512,160282.801555923
14.7606021669,907.6744693296,907589.643977999,1000000,0,84895.0944291756,9.08E+008,9.08E+008,1.50E+004,0,15000,0,95709.1477780088,8.69E+003,8.49E+004,6607.5871229359,82.6717437012,159515.246296681
14.9097116076,917.2652091397,917191.000762888,1000000,0,74267.5134186576,9.17E+008,9.17E+008,1.50E+004,0,15000,0,94311.8924630281,7.71E+003,7.43E+004,7624.2206087517,81.8003903213,157186.48743838
15.0974850229,927.2620960756,927199.369370378,1000000,0,62774.3716198355,9.27E+008,9.27E+008,1.50E+004,0,15000,0,91535.0626802435,6.62E+003,6.28E+004,9098.9969131457,80.9113652702,152558.437800406
15.3230874858,936.6814824357,936630.208767272,1000000,0,51309.8931861826,9.37E+008,9.37E+008,1.50E+004,0,15000,0,87127.3752706488,5.47E+003,5.13E+004,11123.216563546,80.0909668716,145212.292117748
15.6054335204,945.2302978714,945190.44989569,1000000,0,39872.7859838056,9.45E+008,9.45E+008,1.50E+004,0,15000,0,80592.0586054459,4.26E+003,3.99E+004,13991.5338220632,79.3602103678,134320.097675743
15.9748380769,952.2153053303,952186.659433827,1000000,0,28659.5155854212,9.52E+008,9.52E+008,1.50E+004,0,15000,0,71280.5931780569,3.02E+003,2.87E+004,18201.6096748562,78.7720558994,118800.988630095
