t,(Var=C2) C2,(Var=CP) CP,(Var=CT) CT,(Var=EmptySet) EmptySet,(Var=J_Reaction1) J_Reaction1,(Var=J_Reaction2) J_Reaction2,(Var=J_Reaction3) J_Reaction3,(Var=J_Reaction4) J_Reaction4,(Var=J_Reaction5) J_Reaction5,(Var=J_Reaction6) J_Reaction6,(Var=J_Reaction7) J_Reaction7,(Var=J_Reaction8) J_Reaction8,(Var=J_Reaction9) J_Reaction9,(Var=M) M,(Var=pM) pM,(Var=Y) Y,(Var=YP) YP
519,921,921028.106177246,1000000,0,1641.1190811698,921000000,921000000,14998.8205761419,0,15000,0,9253.0796722048,1412.41800824,1641.1190811698,76409.7449809439,81.4243369749,15421.7994536746
520,907,906612.58859087,1000000,0,1592.5827588641,907000000,907000000,14998.7782055984,0,15000,0,5606.5306840104,1677.4817449436,1592.5827588641,90888.2144556995,82.7187841552,9344.217806684
521,887,887442.507440102,1000000,0,1829.0202565305,887000000,887000000,14998.7472787066,0,15000,0,3351.6133844475,2043.2800160382,1829.0202565305,109841.027953751,84.5054589619,5586.0223074125
523,868,868332.995807809,1000000,0,2175.3143647698,868000000,868000000,14998.7259216844,0,15000,0,2572.6899748378,2424.7764404736,2175.3143647698,128623.354643489,86.3650580716,4287.8166247297
525,841,841206.751727905,1000000,0,2736.3087794526,841000000,841000000,14998.7018038977,0,15000,0,2528.5587819108,3003.0719475712,2736.3087794526,155215.729992356,89.1499133423,4214.2646365179
527,815,815328.248999218,1000000,0,3328.511772953,815000000,815000000,14998.684807348,0,15000,0,2938.4244258823,3609.514396751,3328.511772953,180527.90763866,91.9794256225,4897.3740431372
530,779,779320.970423738,1000000,0,4279.0928380879,779000000,779000000,14998.6776731325,0,15000,0,3794.5579525999,4591.8380834127,4279.0928380879,215620.611477949,96.2291420503,6324.2632543332
535,735,734723.594427397,1000000,0,5849.3451117541,735000000,735000000,14998.7300403479,0,15000,0,5243.9368331743,6249.662884661,5849.3451117541,258692.331007937,102.0705620053,8739.8947219572
539,696,696248.807275765,1000000,0,8269.9338292002,696000000,696000000,14998.9594386271,0,15000,0,7350.9643185165,8935.0881661606,8269.9338292002,294785.001811104,107.7126400928,12251.6071975275
543,679,679331.902291906,1000000,0,11097.4850599713,679000000,679000000,14999.3650342125,0,15000,0,9536.072595911,12407.4677404871,11097.4850599713,308891.269644449,110.3979143597,15893.4543265184
544,675,674975.197975679,1000000,0,14570.3663225559,675000000,675000000,14999.9259082078,0,15000,0,11788.3161105008,17413.6950217175,14570.3663225559,309779.445932996,111.1146450506,19647.1935175014
546,677,677021.313846048,1000000,0,19690.2754739217,677000000,677000000,15000.7584420557,0,15000,0,14436.827102752,26565.4201696787,19690.2754739217,302611.369680601,110.784979256,24061.3785045866
546,683,682543.506996442,1000000,0,27153.5592762572,683000000,683000000,15001.9358665779,0,15000,0,17426.2834930871,43650.666110132,27153.5592762572,289620.363078901,109.8972864938,29043.8058218118
547,691,690923.584096729,1000000,0,39754.4755817429,691000000,691000000,15003.8412195902,0,15000,0,21268.0488602588,81254.2351395049,39754.4755817429,268630.977007724,108.5781522367,35446.7481004314
547,705,705008.563938475,1000000,0,68215.0711757083,705000000,705000000,15007.9020659289,0,15000,0,27628.3973822198,193425.072326309,68215.0711757083,226071.288160086,106.4377287993,46047.3289703664
547,721,720861.448138741,1000000,0,109513.532967166,721000000,721000000,15013.4073246828,0,15000,0,35022.733600688,367666.700735839,109513.532967166,168904.048027085,104.1351799534,58371.2226678134
548,742,741448.798203153,1000000,0,160514.533916398,742000000,741000000,15019.6325706279,0,15000,0,44844.6241855504,452975.126717179,160514.533916398,97295.0587133531,101.2857031195,74741.0403092507
